hari,tanggal,t_maks,t_min,t_rata,rs_mj,hujan_mm,eto_mm,fase,kc_FL,etc_FL,kc_SRI,etc_SRI
24,2026-06-07,28.75,16.95,22.85,16.29,0.0,3.66,pertumbuhan,1.02,3.733,0.96,3.514
25,2026-06-08,31.04,18.95,25.0,12.47,0.0,2.956,pertumbuhan,1.02,3.015,0.96,2.838
26,2026-06-09,30.4,19.25,24.83,17.33,0.0,4.091,pertumbuhan,1.02,4.173,0.96,3.927
27,2026-06-10,30.25,16.34,23.3,16.82,0.0,3.823,pertumbuhan,1.02,3.899,0.96,3.67
28,2026-06-11,29.76,18.34,24.05,15.01,0.0,3.476,pertumbuhan,1.02,3.546,0.96,3.337
29,2026-06-12,30.21,18.79,24.5,16.75,0.0,3.923,pertumbuhan,1.02,4.001,0.96,3.766
30,2026-06-13,31.07,18.64,24.85,17.3,0.0,4.086,pertumbuhan,1.02,4.168,0.96,3.923
31,2026-06-14,30.23,19.08,24.65,14.21,0.0,3.34,pertumbuhan,1.02,3.407,0.96,3.206
32,2026-06-15,29.47,17.19,23.33,18.67,0.0,4.247,pertumbuhan,1.02,4.332,0.96,4.077
33,2026-06-16,30.79,17.64,24.21,20.53,0.0,4.774,pertumbuhan,1.02,4.869,0.96,4.583
34,2026-06-17,30.1,18.14,24.12,11.95,0.1,2.772,pertumbuhan,1.02,2.827,0.96,2.661
35,2026-06-18,31.64,20.06,25.85,17.8,0.0,4.307,pertumbuhan,1.02,4.393,0.96,4.135
36,2026-06-19,29.96,19.67,24.82,15.75,20.1,3.717,pertumbuhan,1.02,3.791,0.96,3.568
37,2026-06-20,28.92,19.82,24.37,16.33,0.0,3.812,pertumbuhan,1.02,3.888,0.96,3.66
38,2026-06-21,30.01,19.43,24.72,17.18,0.0,4.045,pertumbuhan,1.02,4.126,0.96,3.883
39,2026-06-22,31.07,18.4,24.73,21.0,0.0,4.946,pertumbuhan,1.02,5.045,0.96,4.748
40,2026-06-23,30.35,18.11,24.23,20.33,0.0,4.729,pertumbuhan,1.02,4.824,0.96,4.54
41,2026-06-24,31.28,18.14,24.71,18.35,0.0,4.32,pertumbuhan,1.02,4.406,0.96,4.147
42,2026-06-25,30.12,20.08,25.1,16.81,0.0,3.995,pertumbuhan,1.02,4.075,0.96,3.835
43,2026-06-26,31.28,17.35,24.31,13.12,0.6,3.058,pertumbuhan,1.02,3.119,0.96,2.936
44,2026-06-27,30.13,17.96,24.04,17.76,5.8,4.112,pertumbuhan,1.02,4.194,0.96,3.948
45,2026-06-28,31.51,18.85,25.18,13.19,57.9,3.141,pertumbuhan,1.02,3.204,0.96,3.015
46,2026-06-29,30.55,18.43,24.49,20.65,0.0,4.835,pertumbuhan,1.02,4.932,0.96,4.642
47,2026-06-30,33.13,18.7,25.91,20.17,0.0,4.888,pertumbuhan,1.02,4.986,0.96,4.692
48,2026-07-01,30.28,17.67,23.97,19.98,0.0,4.618,pertumbuhan,1.02,4.71,0.96,4.433
49,2026-07-02,32.8,18.11,25.45,19.81,0.0,4.748,pertumbuhan,1.02,4.843,0.96,4.558
50,2026-07-03,28.89,18.54,23.71,20.08,0.0,4.611,pertumbuhan,1.02,4.703,0.96,4.427
51,2026-07-04,30.47,20.13,25.3,13.51,2.0,3.226,reproduktif,1.09,3.516,1.02,3.291
52,2026-07-05,30.89,17.88,24.38,17.85,0.0,4.168,reproduktif,1.09,4.543,1.02,4.251
53,2026-07-06,30.06,18.48,24.27,13.01,0.0,3.03,reproduktif,1.09,3.303,1.02,3.091
54,2026-07-07,31.93,20.09,26.01,16.86,0.0,4.095,reproduktif,1.09,4.464,1.02,4.177
55,2026-07-08,31.92,18.21,25.06,13.55,11.3,3.217,reproduktif,1.09,3.507,1.02,3.281
56,2026-07-09,33.01,19.08,26.04,17.32,0.0,4.21,reproduktif,1.09,4.589,1.02,4.294
57,2026-07-10,32.84,18.27,25.55,21.21,0.0,5.096,reproduktif,1.09,5.555,1.02,5.198
58,2026-07-11,31.37,18.96,25.16,18.6,0.0,4.427,reproduktif,1.09,4.825,1.02,4.516
59,2026-07-12,29.46,18.36,23.91,17.53,0.0,4.046,reproduktif,1.09,4.41,1.02,4.127
60,2026-07-13,30.35,19.05,24.7,16.97,12.4,3.994,reproduktif,1.09,4.353,1.02,4.074
61,2026-07-14,29.66,19.27,24.46,16.1,0.0,3.767,reproduktif,1.09,4.106,1.02,3.842
62,2026-07-15,31.32,18.97,25.15,15.6,0.0,3.712,reproduktif,1.09,4.046,1.02,3.786
63,2026-07-16,31.2,17.41,24.3,20.25,0.0,4.719,reproduktif,1.09,5.144,1.02,4.813
64,2026-07-17,30.98,19.43,25.2,19.9,0.0,4.741,reproduktif,1.09,5.168,1.02,4.836
65,2026-07-18,30.26,20.54,25.4,22.07,0.0,5.283,reproduktif,1.09,5.758,1.02,5.389
66,2026-07-19,32.77,20.1,26.43,18.96,0.0,4.651,reproduktif,1.09,5.07,1.02,4.744
67,2026-07-20,31.51,18.79,25.15,16.69,0.0,3.971,reproduktif,1.09,4.328,1.02,4.05
68,2026-07-21,29.28,19.71,24.49,21.32,0.0,4.992,reproduktif,1.09,5.441,1.02,5.092
69,2026-07-22,31.08,19.64,25.36,21.87,0.0,5.23,reproduktif,1.09,5.701,1.02,5.335
70,2026-07-23,30.41,20.1,25.26,18.7,0.0,4.461,reproduktif,1.09,4.862,1.02,4.55
71,2026-07-24,31.81,19.08,25.45,25.25,0.0,6.052,reproduktif,1.09,6.597,1.02,6.173
72,2026-07-25,31.21,18.54,24.88,21.12,0.0,4.992,reproduktif,1.09,5.441,1.02,5.092
73,2026-07-26,31.86,18.97,25.41,22.82,0.0,5.464,reproduktif,1.09,5.956,1.02,5.573
74,2026-07-27,33.87,20.34,27.1,22.42,0.0,5.587,reproduktif,1.09,6.09,1.02,5.699
75,2026-07-28,32.22,18.97,25.6,22.25,0.0,5.352,reproduktif,1.09,5.834,1.02,5.459
76,2026-07-29,31.93,20.26,26.1,20.04,0.0,4.878,reproduktif,1.09,5.317,1.02,4.976
77,2026-07-30,32.39,18.55,25.47,21.75,0.0,5.215,reproduktif,1.09,5.684,1.02,5.319
78,2026-07-31,31.7,18.71,25.21,21.29,0.0,5.073,reproduktif,1.09,5.53,1.02,5.174
79,2026-08-01,31.7,18.94,25.32,20.66,0.0,4.936,reproduktif,1.09,5.38,1.02,5.035
80,2026-08-02,30.99,18.2,24.6,19.61,0.0,4.604,reproduktif,1.09,5.018,1.02,4.696
81,2026-08-03,30.83,20.39,25.61,22.77,0.0,5.478,reproduktif,1.09,5.971,1.02,5.588
82,2026-08-04,33.21,20.71,26.96,19.62,0.0,4.873,reproduktif,1.09,5.312,1.02,4.97
83,2026-08-05,31.12,18.54,24.83,20.88,0.0,4.93,reproduktif,1.09,5.374,1.02,5.029
84,2026-08-06,31.56,20.12,25.84,22.02,0.0,5.327,reproduktif,1.09,5.806,1.02,5.434
85,2026-08-07,31.35,19.4,25.37,24.0,0.0,5.741,reproduktif,1.09,6.258,1.02,5.856
86,2026-08-08,32.42,18.8,25.61,17.43,0.0,4.193,reproduktif,1.09,4.57,1.02,4.277
87,2026-08-09,31.95,19.43,25.69,21.12,0.0,5.091,reproduktif,1.09,5.549,1.02,5.193
88,2026-08-10,31.77,18.77,25.27,22.44,0.0,5.355,reproduktif,1.09,5.837,1.02,5.462
89,2026-08-11,31.72,18.76,25.24,22.92,0.0,5.465,reproduktif,1.09,5.957,1.02,5.574
90,2026-08-12,29.76,18.47,24.12,22.52,0.0,5.225,reproduktif,1.09,5.695,1.02,5.329
91,2026-08-13,30.54,18.89,24.71,21.71,0.0,5.11,pemasakan,1.05,5.366,1.04,5.314
92,2026-08-14,33.33,19.36,26.34,22.64,0.0,5.542,pemasakan,1.05,5.819,1.04,5.764
93,2026-08-15,32.87,19.97,26.42,24.47,0.0,6.002,pemasakan,1.05,6.302,1.04,6.242
94,2026-08-16,31.96,21.32,26.64,22.87,0.0,5.638,pemasakan,1.05,5.92,1.04,5.864
95,2026-08-17,34.07,20.1,27.08,24.61,0.0,6.13,pemasakan,1.05,6.437,1.04,6.375
96,2026-08-18,33.89,19.72,26.8,19.08,3.8,4.722,pemasakan,1.05,4.958,1.04,4.911
97,2026-08-19,33.26,18.41,25.83,17.49,3.8,4.23,pemasakan,1.05,4.442,1.04,4.399
98,2026-08-20,32.36,20.33,26.34,18.66,0.0,4.568,pemasakan,1.05,4.796,1.04,4.751
99,2026-08-21,31.93,19.39,25.66,22.73,0.0,5.475,pemasakan,1.05,5.749,1.04,5.694
100,2026-08-22,32.71,18.74,25.73,22.29,0.0,5.378,pemasakan,1.05,5.647,1.04,5.593
101,2026-08-23,33.22,20.58,26.9,23.43,0.0,5.812,pemasakan,1.05,6.103,1.04,6.044
102,2026-08-24,32.78,19.71,26.24,21.42,0.0,5.231,pemasakan,1.05,5.493,1.04,5.44
103,2026-08-25,31.13,18.72,24.93,25.97,0.0,6.146,pemasakan,1.05,6.453,1.04,6.392
104,2026-08-26,33.61,20.31,26.96,20.35,0.0,5.055,pemasakan,1.05,5.308,1.04,5.257
105,2026-08-27,33.52,19.97,26.75,22.7,0.0,5.611,pemasakan,1.05,5.892,1.04,5.835
106,2026-08-28,32.86,19.45,26.16,22.35,0.0,5.448,pemasakan,1.05,5.72,1.04,5.666
107,2026-08-29,32.21,19.36,25.79,23.61,0.0,5.705,pemasakan,1.05,5.99,1.04,5.933
108,2026-08-30,33.61,18.22,25.92,23.74,0.0,5.754,pemasakan,1.05,6.042,1.04,5.984
109,2026-08-31,32.11,19.21,25.66,27.79,0.0,6.694,pemasakan,1.05,7.029,1.04,6.962
110,2026-09-01,31.36,19.98,25.67,18.49,0.0,4.455,pemasakan,1.05,4.678,1.04,4.633
