kecamatan,kabupaten,rezim,luas_sawah_ha,luas_wilayah_ha,lat,lon,elevasi_m,eto_rata_mm_hari,hujan_tahunan_mm,bulan_tanam,bulan_tanam_optimum,n_musim,hujan_musim_mm,etc_mm,perkolasi_mm,limpasan_mm,irigasi_mm,irigasi_mm_andalan,nfr_mm_hari,nfr_mm_hari_andalan,dr_l_detik_ha,dr_l_detik_ha_andalan,debit_l_detik,debit_l_detik_andalan,volume_m3,volume_m3_andalan
Cibatu,Garut,FL,1305.3429369090693,3819.1147091590306,-7.08195,108.00017500000001,598.0,3.5362755176584657,2564.2272727272725,Jan,Jan,9,1427.8000000000002,489.4785839384123,280.0,652.5127638635847,240.01263519022865,271.8576245438442,1.7143759656444904,1.941840175313173,0.3052663756489477,0.34576926198596386,398.4773073291846,451.34746393363946,3132987.981144981,3548674.300431847
Cibatu,Garut,SRI,1305.3429369090693,3819.1147091590306,-7.08195,108.00017500000001,598.0,3.5362755176584657,2564.2272727272725,Jan,Jan,9,1427.8000000000002,473.2353570808899,192.0,664.3049366365175,123.05593551207208,163.79711591661732,0.878970967943372,1.1699793994044094,0.15651192449134116,0.20832966513611276,204.30173517681777,271.94165693405637,1606301.962654212,2138114.083478325
Tarogong Kidul,Garut,FL,1301.6808590234377,1962.7263748300118,-7.21665,107.8847875,765.0,3.3632366995099465,3112.1636363636358,Jan,Feb,9,1996.5,481.0179286495624,280.0,1241.3394253033025,227.00199307972184,285.95920180898537,1.6214428077122989,2.0425657272070383,0.28871844866671986,0.36370472350552674,375.8192782764102,473.42747692355596,2954841.493520448,3722276.1945637665
Tarogong Kidul,Garut,SRI,1301.6808590234377,1962.7263748300118,-7.21665,107.8847875,765.0,3.3632366995099465,3112.1636363636358,Jan,Feb,9,1996.5,465.1072141736822,192.0,1254.4389154245732,127.00199307972184,171.4714038442066,0.9071570934265846,1.224795741744333,0.16153082147909267,0.2180904098547601,210.26157846166691,283.88411204451774,1653160.6344970104,2232010.4425388165
Sukawening,Garut,FL,1284.001144985651,3701.299003967796,-7.145099999999999,108.015645,760.0,3.348608978492053,2727.681818181818,Jan,Jan,9,1482.7999999999997,480.3706315676424,280.0,744.979547328779,226.0399927754397,274.35375971385935,1.6145713769674266,1.9596697122418525,0.28749490330616567,0.3489440370801019,369.1437850226558,448.04454314676633,2902356.0953621287,3522705.4160371358
Sukawening,Garut,SRI,1284.001144985651,3701.299003967796,-7.145099999999999,108.015645,760.0,3.348608978492053,2727.681818181818,Jan,Jan,9,1482.7999999999997,464.45265617474524,192.0,752.1956232432256,119.97504634786345,161.65373856199352,0.8569646167704532,1.1546695611570965,0.15259341466710347,0.20560355433708982,195.93011914983109,263.99519918194284,1540480.9688036325,2075635.8540481078
Garut Kota,Garut,FL,1119.2985531106906,3001.973823503947,-7.23175,107.91624999999999,751.0,3.2876849740172776,2650.354545454545,Jan,Jan,9,1415.1,476.71945106084,280.0,697.2182745583011,233.55922752415404,294.31726882812393,1.6682801966011003,2.102266205915171,0.297058439565723,0.3743351506259207,332.4970815952332,418.9927924740655,2614225.054334362,3294288.9315480925
Garut Kota,Garut,SRI,1119.2985531106906,3001.973823503947,-7.23175,107.91624999999999,751.0,3.2876849740172776,2650.354545454545,Jan,Feb,9,1415.1,460.91928056502525,192.0,685.3948975748108,133.55922752415404,182.2899815887535,0.953994482315386,1.302071297062525,0.1698708123780958,0.23185030218349803,190.1361545105402,259.50970777226576,1494926.5012236713,2040369.1263886623
Tarogong Kaler,Garut,FL,1064.2353096817487,5168.802018866107,-7.17465,107.86625875,891.0,3.42002362931666,2533.554545454546,Jan,Jan,9,1378.1,484.2323185996649,280.0,686.667610776112,219.19004199298524,304.2624475383105,1.5656431570927518,2.173303196702218,0.27878261344244154,0.38698418744697605,296.69030095080404,411.84223656957244,2332697.8221956016,3238068.400804607
Tarogong Kaler,Garut,SRI,1064.2353096817487,5168.802018866107,-7.17465,107.86625875,891.0,3.42002362931666,2533.554545454546,Jan,Jan,9,1378.1,468.2292748646411,192.0,670.9456384924587,116.9405984725884,186.16057893972769,0.8352899890899171,1.3297184209980548,0.14873397241629577,0.23677322311218924,158.2879451946532,251.98242442314648,1244523.1402984415,1981186.6137845474
Leles,Garut,FL,1053.0340623022564,6605.749376858521,-7.1056,107.87231428571428,896.0,3.4268372859790284,2485.090909090909,Jan,Jan,9,1378.1,484.2989676511345,280.0,686.6362633212196,219.189837216789,304.2615225198682,1.5656416944056357,2.17329658942763,0.27878235299245646,0.3869830109379683,293.567313669828,407.50629204996727,2308143.646997656,3203977.4706136626
Leles,Garut,SRI,1053.0340623022564,6605.749376858521,-7.1056,107.87231428571428,896.0,3.4268372859790284,2485.090909090909,Jan,Jan,9,1378.1,468.2932547263946,192.0,670.9160862794622,112.41254872457819,186.16008756097023,0.8029467766041299,1.3297149111497872,0.14297485338392626,0.23677259813920712,150.55739066594538,249.32961086038895,1183742.428371929,1960329.1324287222
Leuwigoong,Garut,FL,1027.301248802736,2364.0728298384465,-7.11515,107.93525,690.0,3.4595806033500147,2402.2727272727275,Jan,Jan,9,1395.0,487.894084163113,280.0,674.0556571113341,222.6743255850064,283.67176941429267,1.59053089703576,2.026226924387805,0.283214191067621,0.36079539251919596,290.94629216242373,370.6455572972433,2287536.1274978407,2914163.6296938458
Leuwigoong,Garut,SRI,1027.301248802736,2364.0728298384465,-7.11515,107.93525,690.0,3.4595806033500147,2402.2727272727275,Jan,Jan,9,1395.0,471.384791925901,192.0,662.3210347963552,122.6521350660735,183.67176941429264,0.8760866790433821,1.3119412101020902,0.1559983402855025,0.23360776533156874,160.25728978645085,239.98554905513706,1260006.9152169914,1886862.3808911098
Selaawi,Garut,FL,1023.3350995400187,3552.1196426362158,-6.9975000000000005,108.02336,599.0,3.602433904328541,3057.4636363636364,Jan,Jan,9,2031.0000000000002,478.3293481950674,280.0,1209.1102308359132,207.4661319863329,260.03412123933316,1.4819009427595207,1.857386580280951,0.2638712504913676,0.3307312286825055,270.0287123873329,338.4488748248045,2123073.7482741666,2661020.433422543
Selaawi,Garut,SRI,1023.3350995400187,3552.1196426362158,-6.9975000000000005,108.02336,599.0,3.602433904328541,3057.4636363636364,Jan,Feb,9,2031.0000000000002,462.249151458197,192.0,1209.2020707425422,107.4661319863329,148.0049981857309,0.7676152284738064,1.0571785584695064,0.13668362330374043,0.18824404531152178,139.87314925902365,192.63673884668194,1099738.6487341477,1514587.0955081522
Karangtengah,Garut,FL,949.2882055912297,2963.0615486746115,-7.15995,108.054575,953.0,3.262405874717929,2727.681818181818,Jan,Jan,9,1482.7999999999997,470.274632960167,280.0,753.0235845164295,225.05754438203866,273.1407480635473,1.6075538884431333,1.951005343311052,0.2862453505062559,0.3474012363445605,271.72933514091625,329.78389626970255,2136444.72461194,2592892.9060309096
Karangtengah,Garut,SRI,949.2882055912297,2963.0615486746115,-7.15995,108.054575,953.0,3.262405874717929,2727.681818181818,Jan,Jan,9,1482.7999999999997,454.5886564976292,192.0,759.8115899012482,118.8765457368884,160.62519344318528,0.8491181838349172,1.1473228103084663,0.15119625780536275,0.20429537220592348,143.52882426416176,193.93518729195347,1128481.0278945453,1524796.016564255
Wado,Sumedang,FL,925.4771193566393,7055.561677443361,-6.9843,108.119425,737.0,3.529441032879143,3057.4636363636364,Jan,Jan,9,2031.0000000000002,470.585315213001,280.0,1215.9278399533423,206.7695060516117,260.93552202369983,1.4769250432257979,1.8638251573121416,0.2629852284946221,0.33187769895159214,243.3868117005504,307.1452168044294,1913604.4683144079,2414898.552603146
Wado,Sumedang,SRI,925.4771193566393,7055.561677443361,-6.9843,108.119425,737.0,3.529441032879143,3057.4636363636364,Jan,Feb,9,2031.0000000000002,454.76287060589004,192.0,1215.8697595754059,106.76950605161171,147.20488787566916,0.7626393289400837,1.0514634848262083,0.13579760130699495,0.1872264039932707,125.67757287313907,173.27375303519455,988127.3489577686,1362347.5558639136
Kersamanah,Garut,FL,690.7866595757506,2432.9741073898285,-7.0745000000000005,108.03445500000001,697.0,3.494141232812333,2564.2272727272725,Jan,Jan,9,1427.8000000000002,484.37529171075914,280.0,656.9592200826623,239.48494453288794,271.2121543543762,1.7106067466634853,1.93722967395983,0.30459521842298526,0.34494830376777597,210.41031345716013,238.28568648606327,1654330.0485255758,1873497.381428024
Kersamanah,Garut,SRI,690.7866595757506,2432.9741073898285,-7.0745000000000005,108.03445500000001,697.0,3.494141232812333,2564.2272727272725,Jan,Jan,9,1427.8000000000002,468.2039747453589,192.0,668.5614083528113,122.57399266317194,163.21525286809944,0.8755285190226567,1.165823234772139,0.1558989528174246,0.20758960733122128,107.6929168481063,143.4001314109761,846724.789426551,1127469.1932056586
Wanaraja,Garut,FL,598.2632613783385,2183.3163706866344,-7.18585,108.00525,860.0,3.2059196361564313,2650.354545454545,Jan,Jan,9,1415.1,465.64126839807295,280.0,704.525348758794,232.42713907442015,292.93038240373903,1.6601938505315725,2.0923598743124217,0.2956185631288412,0.3725712026909582,176.8577257014388,222.89566281754267,1390526.1825549926,1752494.8593366477
Wanaraja,Garut,SRI,598.2632613783385,2183.3163706866344,-7.18585,108.00525,860.0,3.2059196361564313,2650.354545454545,Jan,Feb,9,1415.1,450.2050545995505,192.0,694.386373203522,132.42713907442013,181.040961521503,0.945908136245858,1.2931497251535928,0.16843093594121403,0.2302617031968648,100.76604105319672,137.75711752508732,792262.9211766539,1083101.5608292466
Pangatikan,Garut,FL,525.4523463708998,2033.6655659600883,-7.190799999999999,108.04708333333332,1368.0,2.968741838330777,2791.1363636363635,Jan,Des,9,1305.9999999999998,442.1476976797203,280.0,600.2206499975812,239.7086887979981,280.50529469013105,1.7122049199857006,2.0036092477866503,0.30487979344474725,0.3567680284520388,160.1998028266177,187.46459766024373,1259554.9297439991,1473921.6526439006
Pangatikan,Garut,SRI,525.4523463708998,2033.6655659600883,-7.190799999999999,108.04708333333332,1368.0,2.968741838330777,2791.1363636363635,Jan,Des,9,1305.9999999999998,427.4028230825022,192.0,605.3577989485614,124.14815871385616,163.80807358515696,0.8867725622418298,1.170057668465407,0.15790109726528306,0.20834360193472343,82.96950205258265,109.47463448796516,652339.4129382259,860733.3661981774
Cibiuk,Garut,FL,503.78109161820277,2129.659585128636,-7.066549999999999,107.95706249999999,621.0,3.5677601243146655,2307.909090909091,Jan,Jan,9,1315.3000000000002,495.9631799803352,280.0,576.2500603666288,264.34408396730106,294.46083286395634,1.8881720283378647,2.103291663313974,0.336212968008879,0.3745177463165908,169.37773603970896,188.67495906976126,1331715.5118386077,1483437.998190091
Cibiuk,Garut,SRI,503.78109161820277,2129.659585128636,-7.066549999999999,107.95706249999999,621.0,3.5677601243146655,2307.909090909091,Jan,Jan,9,1315.3000000000002,479.2186877386638,192.0,546.6556107403142,138.43945932105777,185.75547454298314,0.9888532808646984,1.3268248181641653,0.17607786340183373,0.23625798044233712,88.7046982343766,119.02230329075259,697431.8193979625,935800.9573932132
Sucinaraja,Garut,FL,315.68777919869945,3068.925156727279,-7.2124500000000005,108.012175,973.0,3.131969691951996,2791.1363636363635,Jan,Des,9,1305.9999999999998,465.0114055360145,280.0,582.1708236511935,241.9463460538741,283.47181090755475,1.7281881860991006,2.024798649339677,0.3077258166130877,0.36054107003911623,97.1452796486919,113.81840971057136,763795.0467098753,894885.8645083964
Sucinaraja,Garut,SRI,315.68777919869945,3068.925156727279,-7.2124500000000005,108.012175,973.0,3.131969691951996,2791.1363636363635,Jan,Des,9,1305.9999999999998,449.5099770245049,192.0,588.2465288238733,125.82681893811238,166.1413078827568,0.8987629924150884,1.186723627733977,0.16003614537305702,0.21131118727456855,50.52145532434059,66.70835943054902,397219.8903420955,524487.8051867486
Nagreg,Bandung,FL,111.670230987803,1567.8683589840036,-7.021800000000001,107.90566666666666,1019.0,3.3878740118930337,2359.9090909090905,Jan,Jan,9,1275.4,467.84434147377374,280.0,534.062339521016,263.7141542350797,285.6539776993393,1.8836725302505695,2.0403855549952805,0.3354117753295173,0.3633165162028633,37.455510427076284,40.57163928605762,294490.2051818446,318990.45672269945
Nagreg,Bandung,SRI,111.670230987803,1567.8683589840036,-7.021800000000001,107.90566666666666,1019.0,3.3878740118930337,2359.9090909090905,Jan,Jan,9,1275.4,452.0813809597128,192.0,515.5243744731731,137.33694724238077,178.15846305100072,0.980978194588434,1.2725604503642909,0.17467560444950747,0.2265955217885133,19.50606509681061,25.303974258925027,153364.48621716374,198949.96721337215
