petak,di,rezim,kewenangan,status,jaringan_m,jarak_jaringan_m,tanam,bulan_tanam_optimum,luas_ha,luas_m2,luas_cea_ha,luas_geom_ha,luas_sawah_big_ha,lat,lon,elev_rata_m,eto_rata_mm_hari,hujan_tahunan_mm,n_musim,hujan_mm,irigasi_mm,irigasi_m3,irigasi_mm_andalan,irigasi_m3_andalan,nfr_mm_hari,dr_l_detik_ha,debit_l_detik,debit_l_detik_andalan,etc_mm,etc_m3,perkolasi_mm,perkolasi_m3,limpasan_mm,limpasan_m3,masuk_mm,keluar_mm,water_loss_m3,etc_pct,perkolasi_pct,limpasan_pct,loss_pct_masuk,irigasi_pct_masuk,hujan_pct_masuk,tma_rata,tma_min,hari_diairi,hari_kering,hari_limpas
DI Citameng II,DI Citameng II,FL,Kab. Garut,Sesuai Permen PUPR No. 14/2015,4340.157096526737,0.0,Jan,Jan,339.0,3390000.0,339.0,338.1980250864487,331.415436679945,-7.13695,108.00260833333334,684.0,3.4487547879544396,2450.2454545454543,9,1380.2999999999997,230.37524610214376,780972.0842862674,283.7377889532254,961871.104551434,1.6455374721581697,0.2930088091449732,99.3299863001459,122.33810344823895,488.38801554447946,1655635.3726957855,280.0,949200.0,667.753988091069,2263686.019628724,1610.6752461021435,1436.1420036355485,4868521.392324509,34.00694459935998,19.49667924837438,46.49637615226563,89.16397064591587,14.30302270179262,85.69697729820737,39.33262811609508,4.11330178464604,49.0,0.0,65.0
DI Citameng II,DI Citameng II,SRI,Kab. Garut,Sesuai Permen PUPR No. 14/2015,4340.157096526737,0.0,Jan,Jan,339.0,3390000.0,339.0,338.1980250864487,331.415436679945,-7.13695,108.00260833333334,684.0,3.4487547879544396,2450.2454545454543,9,1380.2999999999997,122.7149585094934,416003.7093471826,183.73778895322536,622871.1045514339,0.8765354179249528,0.15607824393250583,52.91052469311948,79.22149783163333,471.86419069445924,1599619.6064542166,192.0,650880.0,657.8746887278603,2230195.1947874464,1503.0149585094932,1321.7388794223195,4480694.801241663,35.700258049509195,14.526318548177663,49.77342340231315,87.93916999555739,8.164586640653738,91.83541335934625,30.043693587046576,-0.6895576330744939,19.0,1.0,64.0
DI Citameng IV,DI Citameng IV,FL,Kab. Garut,Sesuai Permen PUPR No. 14/2015,7476.655724721232,0.0,Jan,Jan,311.0,3110000.0,311.0,310.61503997740897,282.47998427537635,-7.10775,107.98328749999999,635.0,3.4847153143860923,2402.2727272727275,9,1395.0,222.91748697187683,693273.3844825369,284.11778325943817,883606.3059368527,1.5922677640848344,0.28352346226581804,88.17579676466941,112.38378942013286,491.5810533592222,1528817.075947181,280.0,870800.0,671.756787424463,2089163.6088900801,1617.9174869718768,1443.3378407836854,4488780.684837261,34.058627125878566,19.39947752273779,46.54189535138364,89.20960756070832,13.778050411525816,86.22194958847419,39.2734208851538,4.033357618486671,49.0,0.0,65.0
DI Citameng IV,DI Citameng IV,SRI,Kab. Garut,Sesuai Permen PUPR No. 14/2015,7476.655724721232,0.0,Jan,Jan,311.0,3110000.0,311.0,310.61503997740897,282.47998427537635,-7.10775,107.98328749999999,635.0,3.4847153143860923,2402.2727272727275,9,1395.0,122.91748697187681,382273.3844825369,184.1177832594382,572606.3059368528,0.8779820497991201,0.15633583507819088,48.62044470931736,72.82843736478083,474.94806178423926,1477088.4721489842,192.0,597120.0,659.7626163150791,2051861.736739896,1517.9174869718768,1326.7106780993183,4126070.20888888,35.79891755033303,14.471881712376387,49.72920073729058,87.40334632721041,8.09777132333374,91.90222867666627,30.007032079671387,-0.7205792670261477,19.0,1.0,64.0
DI Ciojar,DI Ciojar,FL,Kab. Garut,Sesuai Permen PUPR No. 14/2015,5278.321718125484,0.0,Jan,Jan,309.0,3090000.0,309.0,308.8216842841045,283.66839594919753,-7.17805,107.93356875,688.0,3.4511504216254756,2450.2454545454543,9,1380.2999999999997,230.41508592124774,711982.6154966555,283.7516146955985,876792.4894093995,1.6458220422946266,0.2930594804655674,90.55537946386033,111.51715626391423,488.4781102023799,1509397.3605253538,280.0,865200.0,667.5256718270168,2062654.3259454821,1610.7150859212475,1436.0037820293967,4437251.6864708355,34.01649190032427,19.4985558885017,46.48495221117403,89.1531838610722,14.305142351694185,85.69485764830581,39.3316350380282,4.110094497200323,49.0,0.0,65.0
DI Ciojar,DI Ciojar,SRI,Kab. Garut,Sesuai Permen PUPR No. 14/2015,5278.321718125484,0.0,Jan,Jan,309.0,3090000.0,309.0,308.8216842841045,283.66839594919753,-7.17805,107.93356875,688.0,3.4511504216254756,2450.2454545454543,9,1380.2999999999997,122.72787493167934,379229.1335388891,183.75161469559848,567792.4894093992,0.8766276780834238,0.15609467202340166,48.23325365523111,72.21617946293743,471.9514647038909,1458330.0259350229,192.0,593280.0,657.6412407304967,2032111.433857235,1503.027874931679,1321.5927054343877,4083721.459792258,35.71081035505319,14.527925223141459,49.76126442180536,87.92868898020015,8.165375837574404,91.8346241624256,30.04273433299939,-0.6909181079182094,19.0,1.0,64.0
DI Cipacing,DI Cipacing,FL,Kab. Garut,Sesuai Permen PUPR No. 14/2015,3068.2252256415663,0.0,Jan,Jan,280.0,2800000.0,280.0,279.4035298880658,255.6895852656249,-7.05945,107.982925,522.0,3.5723555244058334,2564.2272727272725,9,1427.8000000000002,240.4583780137047,673283.4584383732,272.3883581789821,762687.4029011499,1.7175598429550336,0.305833305369486,85.63332550345608,97.00440106089106,493.94407551100755,1383043.4114308213,280.0,784000.0,648.6256479897929,1816151.81437142,1668.258378013705,1422.5697235008006,3983195.2258022414,34.72195895575937,19.682690793597676,45.595350250642944,85.27274565193966,14.413737175413083,85.58626282458692,39.94312362700517,7.57788751361843,50.0,0.0,73.0
DI Cipacing,DI Cipacing,SRI,Kab. Garut,Sesuai Permen PUPR No. 14/2015,3068.2252256415663,0.0,Jan,Jan,280.0,2800000.0,280.0,279.4035298880658,255.6895852656249,-7.05945,107.982925,522.0,3.5723555244058334,2564.2272727272725,9,1427.8000000000002,123.4354870464885,345619.36373016785,164.27366574398695,459966.26408316346,0.8816820503320607,0.15699466708191961,43.95850678293749,58.50201771509507,477.57051200998467,1337197.433627957,192.0,537600.0,660.5840335171938,1849635.2938481425,1551.2354870464887,1330.1545455271785,3724432.7274761,35.9033853333719,14.434412951910403,49.66220171471769,85.7480734959047,7.957237187856397,92.04276281214361,30.79341613187509,0.7348661102138729,19.0,0.0,70.0
DI Cibuyutan Selatan,DI Cibuyutan Selatan,FL,Kab. Garut,Sesuai Permen PUPR No. 14/2015,8255.224294893942,0.0,Jan,Jan,266.0,2660000.0,266.0,265.8599588123958,240.84774851565695,-7.154,107.92037499999999,699.0,3.4438119798681677,2450.2454545454543,9,1380.2999999999997,230.33183604078732,612682.6838684942,283.63161554485373,754460.097349311,1.645227400291338,0.2929535969179733,77.9256567801809,95.95798958960505,487.526651107999,1296820.8919472774,280.0,744800.0,668.0682148357946,1777061.4514632137,1610.631836040787,1435.5948659437936,3818682.343410491,33.95990489193395,19.504109874057082,46.53598523400897,89.13240343446428,14.300712980253948,85.69928701974605,39.3488923686535,4.136157445033918,49.0,0.0,65.0
DI Cibuyutan Selatan,DI Cibuyutan Selatan,SRI,Kab. Garut,Sesuai Permen PUPR No. 14/2015,8255.224294893942,0.0,Jan,Jan,266.0,2660000.0,266.0,265.8599588123958,240.84774851565695,-7.154,107.92037499999999,699.0,3.4438119798681677,2450.2454545454543,9,1380.2999999999997,122.62392493135818,326179.64031741273,183.6316155448537,488460.0973493108,0.8758851780811299,0.15596246048453166,41.486014488885424,62.12608075769623,471.03152517755575,1252943.8569722981,192.0,510720.0,658.2970926741132,1751070.266513141,1502.923924931358,1321.328617851669,3514734.1234854395,35.64832539110519,14.530828849538604,49.82084575935621,87.91719899675009,8.159024079476191,91.8409759205238,30.053904848802123,-0.6818308053533055,19.0,1.0,64.0
DI Citameng III,DI Citameng III,FL,Kab. Garut,Sesuai Permen PUPR No. 14/2015,5798.793137170536,0.0,Jan,Jan,124.0,1240000.0,124.0,123.99305030706039,119.48089435166494,-7.14035,107.99889999999999,679.0,3.4524991290229567,2450.2454545454543,9,1380.2999999999997,230.40164896119785,285698.04471188533,283.7921078919652,351902.2137860369,1.645726064008556,0.2930423903149138,36.33725639904931,44.75760757351913,488.8807434920292,606212.1219301162,280.0,347200.0,667.464688079671,827656.213218792,1610.7016489611976,1436.3454315717001,1781068.3351489082,34.03643251450165,19.493917956324342,46.46964952917401,89.17513882835182,14.304427459287236,85.69557254071276,39.32277362311573,4.103471791734297,49.0,0.0,65.0
DI Citameng III,DI Citameng III,SRI,Kab. Garut,Sesuai Permen PUPR No. 14/2015,5798.793137170536,0.0,Jan,Jan,124.0,1240000.0,124.0,123.99305030706039,119.48089435166494,-7.14035,107.99889999999999,679.0,3.4524991290229567,2450.2454545454543,9,1380.2999999999997,122.75635907390792,152217.8852516458,183.79210789196523,227902.21378603688,0.8768311362421994,0.15613090032802696,19.36023164067534,28.986341802253367,472.3383879194006,585699.6010200568,192.0,238080.0,657.5121630893227,815315.0822307601,1503.0563590739077,1321.8505510087234,1639094.683250817,35.73311578672432,14.525091346633854,49.741792866641816,87.94417741083028,8.167116178500649,91.83288382149934,30.03757025121076,-0.6968435003016813,19.0,1.0,64.0
